                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.0445,                0.68545,                 1.0041,                0.84439,                0.71875,                0.81882,                0.40037,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     74,                0.98062,                0.67315,                 1.0135,                0.80165,                0.75784,                0.78353,                0.40318,                      0,                    inf,                      0,              0.0063865,              0.0063865,              0.0063865
                     75,                0.98686,                0.66029,                 1.0078,                0.78614,                   0.75,                0.69939,                0.34451,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     76,                 1.0074,                0.64541,                 1.0333,                0.80494,                0.70935,                0.70744,                0.35674,                      0,                    inf,                      0,              0.0062875,              0.0062875,              0.0062875
                     77,                0.96783,                0.64657,                0.99422,                0.82079,                0.78125,                0.81518,                0.42275,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     78,                 1.0322,                0.64322,                 1.0316,                0.76683,                0.77086,                0.77687,                0.42714,                      0,                    inf,                      0,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.0097,                0.65491,                 1.0124,                0.84117,                0.82812,                0.84652,                0.43271,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     80,                 1.0133,                0.64675,                 1.0071,                0.77367,                0.85463,                 0.8228,                0.42906,                      0,                    inf,                      0,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.0051,                0.64259,                0.99259,                0.82115,                0.78921,                0.83407,                0.41583,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     82,                0.92541,                  0.629,                0.99251,                0.82466,                0.82812,                0.84981,                0.41002,                      0,                    inf,                      0,              0.0059905,              0.0059905,              0.0059905
                     83,                0.99353,                0.59998,                0.98393,                0.79066,                0.82624,                0.76215,                0.37381,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     84,                0.95512,                0.62112,                 1.0048,                0.74287,                0.82812,                0.74849,                 0.3735,                      0,                    inf,                      0,              0.0058915,              0.0058915,              0.0058915
                     85,                 0.9412,                0.61472,                 0.9875,                0.81416,                0.75304,                 0.7896,                0.41002,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     86,                 1.0255,                0.63664,                0.97774,                0.90172,                0.71679,                0.80788,                0.41115,                      0,                    inf,                      0,              0.0057925,              0.0057925,              0.0057925
                     87,                0.97159,                0.62501,                0.98349,                0.73544,                0.78125,                0.72723,                0.38637,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     88,                0.91984,                0.59835,                0.97479,                0.76318,                0.71875,                0.76109,                 0.4077,                      0,                    inf,                      0,              0.0056935,              0.0056935,              0.0056935
                     89,                0.95611,                0.59743,                 0.9904,                0.74362,                0.77049,                0.78192,                0.37269,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     90,                0.97469,                0.64773,                0.98458,                0.78516,                0.74239,                0.74946,                0.38195,                      0,                    inf,                      0,              0.0055945,              0.0055945,              0.0055945
                     91,                0.90913,                0.58224,                0.98276,                0.73909,                   0.75,                0.82603,                0.41235,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     92,                0.88691,                0.57173,                0.96484,                0.82799,                0.78125,                0.82887,                0.39658,                      0,                    inf,                      0,              0.0054955,              0.0054955,              0.0054955
                     93,                0.86526,                0.57702,                 0.9636,                0.79306,                 0.8384,                0.83002,                0.44303,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     94,                0.91696,                0.57245,                0.98748,                0.80629,                0.78046,                0.78388,                0.41695,                      0,                    inf,                      0,              0.0053965,              0.0053965,              0.0053965
                     95,                0.86157,                0.58244,                0.95325,                0.70659,                0.82782,                0.77685,                0.41671,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     96,                0.86517,                0.55971,                0.94052,                0.85318,                0.72644,                0.77649,                0.42501,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     97,                0.87634,                0.57084,                0.96692,                 0.7013,                0.84374,                0.77267,                0.40232,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     98,                0.83655,                0.63298,                0.95707,                0.80587,                 0.8125,                0.84376,                0.41065,                      0,                    inf,                      0,              0.0051985,              0.0051985,              0.0051985
                     99,                0.87636,                0.57501,                0.94505,                 0.8417,                0.79688,                0.80678,                0.39989,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                    100,                0.86662,                0.57286,                0.93647,                0.83761,                0.73438,                0.77287,                0.38588,                      0,                    inf,                      0,              0.0050995,              0.0050995,              0.0050995
                    101,                0.87329,                0.55767,                 0.9638,                0.84086,                0.71875,                0.79028,                0.40664,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                    102,                0.82493,                0.54781,                 0.9587,                0.78982,                0.76562,                0.80842,                0.40486,                      0,                    inf,                      0,              0.0050005,              0.0050005,              0.0050005
                    103,                0.89179,                0.57769,                0.97675,                0.77678,                0.76126,                0.78075,                0.40511,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                    104,                0.83969,                0.55763,                0.94295,                0.82943,                0.76562,                0.79426,                0.42588,                      0,                    inf,                      0,              0.0049015,              0.0049015,              0.0049015
                    105,                0.86699,                0.55731,                0.95763,                0.86436,                0.79688,                0.81589,                0.42152,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                    106,                0.82427,                 0.5327,                0.96064,                 0.8501,                0.79753,                0.81313,                 0.4253,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                    107,                0.82321,                0.53541,                0.94329,                0.84118,                0.82759,                0.80824,                0.45265,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                    108,                0.78676,                0.51528,                0.94097,                0.81739,                0.83934,                0.84449,                0.45526,                      0,                    inf,                      0,              0.0047035,              0.0047035,              0.0047035
                    109,                0.79732,                0.51601,                0.93448,                0.82001,                  0.875,                 0.8299,                0.46325,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                    110,                0.79987,                0.53512,                0.94086,                0.83808,                  0.875,                0.86902,                0.45795,                      0,                    inf,                      0,              0.0046045,              0.0046045,              0.0046045
                    111,                0.78855,                0.52939,                0.93537,                0.85778,                0.85938,                0.88493,                0.46787,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                    112,                0.79485,                0.53863,                0.92363,                0.82323,                0.87321,                0.86172,                0.45783,                      0,                    inf,                      0,              0.0045055,              0.0045055,              0.0045055
                    113,                0.85964,                 0.5443,                0.94858,                0.88115,                0.81091,                0.84361,                0.44959,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                    114,                0.83471,                0.54451,                 0.9156,                0.84567,                0.79688,                0.83696,                0.41849,                      0,                    inf,                      0,              0.0044065,              0.0044065,              0.0044065
                    115,                0.79772,                0.54893,                 0.9228,                 0.8477,                0.84375,                0.84142,                0.43614,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                    116,                0.78962,                0.50631,                0.93545,                0.87028,                0.83868,                0.84942,                 0.4355,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                    117,                0.78991,                 0.5174,                 0.9402,                0.81845,                 0.8125,                0.80083,                0.42414,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                    118,                0.77498,                0.53573,                 0.9336,                0.78769,                0.84375,                0.80649,                0.44233,                      0,                    inf,                      0,              0.0042085,              0.0042085,              0.0042085
                    119,                0.80262,                0.50095,                0.93128,                0.87623,                   0.75,                0.82399,                0.44335,                      0,                    inf,                      0,               0.004159,               0.004159,               0.004159
                    120,                0.75167,                0.51929,                0.91604,                0.86913,                   0.75,                0.84369,                0.42312,                      0,                    inf,                      0,              0.0041095,              0.0041095,              0.0041095
                    121,                0.71201,                0.47343,                0.90033,                0.89774,                0.73438,                0.83877,                0.45193,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                    122,                0.72483,                0.50508,                0.93079,                0.77725,                0.84375,                0.83772,                0.44945,                      0,                    inf,                      0,              0.0040105,              0.0040105,              0.0040105
                    123,                 0.7325,                0.50564,                0.91379,                0.85305,                0.78125,                0.83788,                0.43157,                      0,                    inf,                      0,               0.003961,               0.003961,               0.003961
                    124,                0.77951,                0.50015,                0.93877,                0.83035,                0.79688,                0.80126,                0.40565,                      0,                    inf,                      0,              0.0039115,              0.0039115,              0.0039115
                    125,                0.77137,                0.50831,                0.93622,                0.81055,                 0.8125,                0.79271,                0.43037,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                    126,                0.74849,                0.47717,                0.90488,                0.86255,                0.78444,                0.82037,                 0.4419,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                    127,                0.73836,                 0.4886,                0.90746,                0.83846,                0.81101,                0.83945,                0.44341,                      0,                    inf,                      0,               0.003763,               0.003763,               0.003763
                    128,                0.73561,                0.46888,                0.90294,                0.83976,                0.76562,                0.80043,                0.45245,                      0,                    inf,                      0,              0.0037135,              0.0037135,              0.0037135
                    129,                0.72175,                  0.489,                0.91528,                0.84112,                0.74456,                0.80263,                0.44826,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                    130,                0.69603,                0.46595,                0.89559,                0.84226,                0.79688,                0.83559,                0.47818,                      0,                    inf,                      0,              0.0036145,              0.0036145,              0.0036145
                    131,                0.72979,                0.49417,                0.88501,                0.82818,                0.73438,                0.83416,                0.43882,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                    132,                0.72977,                0.46905,                0.90167,                 0.8132,                0.78125,                0.82409,                0.42614,                      0,                    inf,                      0,              0.0035155,              0.0035155,              0.0035155
                    133,                0.72769,                0.49042,                 0.9111,                0.79132,                0.82812,                0.85662,                0.45041,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                    134,                0.70714,                0.46149,                0.89284,                0.82559,                0.81361,                0.85874,                0.46731,                      0,                    inf,                      0,              0.0034165,              0.0034165,              0.0034165
                    135,                0.70299,                0.46589,                0.90706,                0.84574,                0.79688,                  0.849,                0.43397,                      0,                    inf,                      0,               0.003367,               0.003367,               0.003367
                    136,                0.69581,                0.54064,                0.91358,                0.85984,                0.79688,                0.85305,                0.42314,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                    137,                0.70255,                0.48427,                0.91456,                0.85697,                0.78125,                 0.8447,                0.43176,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                    138,                0.70257,                  0.456,                0.90594,                0.87204,                0.74542,                0.84395,                0.42198,                      0,                    inf,                      0,              0.0032185,              0.0032185,              0.0032185
                    139,                0.67515,                0.45115,                0.89852,                0.81843,                 0.8125,                0.84569,                0.43008,                      0,                    inf,                      0,               0.003169,               0.003169,               0.003169
                    140,                0.70113,                0.45231,                0.88971,                0.89264,                 0.8125,                0.84766,                0.44857,                      0,                    inf,                      0,              0.0031195,              0.0031195,              0.0031195
                    141,                0.74325,                0.46814,                0.92835,                0.83133,                0.79688,                0.84492,                0.42617,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                    142,                0.74511,                0.48319,                0.90358,                 0.7913,                0.82943,                0.85247,                0.43979,                      0,                    inf,                      0,              0.0030205,              0.0030205,              0.0030205
                    143,                0.68616,                0.45095,                0.89379,                0.84913,                0.79688,                0.84919,                0.47382,                      0,                    inf,                      0,               0.002971,               0.002971,               0.002971
                    144,                0.71191,                0.45702,                0.88754,                0.82352,                0.82812,                0.86948,                0.44403,                      0,                    inf,                      0,              0.0029215,              0.0029215,              0.0029215
                    145,                0.68259,                  0.465,                0.89871,                0.83021,                   0.75,                0.83721,                0.44779,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                    146,                0.70151,                0.46049,                0.89297,                 0.7445,                0.77405,                0.81263,                0.44692,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                    147,                0.67181,                 0.4437,                0.90945,                0.79835,                0.78125,                0.84167,                0.45689,                      0,                    inf,                      0,               0.002773,               0.002773,               0.002773
                    148,                0.68423,                0.45497,                0.89673,                0.78662,                0.76562,                0.80978,                0.44655,                      0,                    inf,                      0,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.6989,                 0.4501,                0.89756,                0.80509,                0.77454,                0.82248,                0.43397,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                    150,                0.70782,                0.46986,                0.90615,                0.76397,                0.84375,                 0.8131,                0.43752,                      0,                    inf,                      0,              0.0026245,              0.0026245,              0.0026245
                    151,                0.69032,                0.45036,                0.90236,                0.84726,                0.78007,                0.84652,                 0.4496,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
